id,name,price,description
581,Studebaker,45.2,Inverse explicit extranet
582,Audi,98.31,Universal hybrid conglomeration
583,Hyundai,44.3,Secured next generation intranet
584,Tesla,58.22,Balanced asynchronous alliance
585,Dodge,20.18,Ergonomic cohesive instruction set
586,Suzuki,87.59,Enhanced dedicated approach
587,GMC,3.57,Multi-channelled next generation strategy
588,BMW,48.45,Phased asymmetric initiative
589,Buick,41.2,Realigned executive standardization
590,Mazda,77.41,Optional neutral capacity
591,Hyundai,52.12,Managed empowering projection
592,Buick,57.52,Future-proofed incremental project
593,Volvo,6.35,Multi-layered didactic matrices
594,BMW,76.22,Multi-layered value-added workforce
595,Chevrolet,50.99,Right-sized object-oriented algorithm
596,BMW,86.46,Distributed disintermediate system engine
597,Plymouth,46.67,Devolved systematic portal
598,Jaguar,39.29,Assimilated upward-trending concept
599,Ford,11.97,Intuitive maximized process improvement
600,Honda,94.65,Down-sized intermediate algorithm
601,Chevrolet,21.4,Upgradable 4th generation access
602,Volkswagen,12.67,Multi-channelled neutral migration
603,Mitsubishi,48.82,Reduced national core
604,Aston Martin,49.96,Cloned modular firmware
605,Plymouth,20.99,Front-line asymmetric ability
606,Dodge,81.07,Self-enabling maximized adapter
607,Toyota,92.36,Robust fault-tolerant framework
608,Dodge,45.66,Devolved stable benchmark
609,Jaguar,96.78,Universal bandwidth-monitored conglomeration
610,Chrysler,17.91,Reduced leading edge task-force
611,Mazda,49.37,Ameliorated coherent time-frame
612,Mercury,68.66,Triple-buffered bandwidth-monitored local area network
613,Mazda,46.52,Organized multi-state synergy
614,Ford,14.04,Cross-platform national migration
615,Nissan,83.92,Right-sized global collaboration
616,GMC,82.08,Robust stable contingency
617,Ford,59.11,Profound context-sensitive system engine
618,BMW,7.11,Reactive contextually-based parallelism
619,Acura,14.21,Automated directional support
620,Lexus,86.63,Cross-group human-resource database
621,Audi,20.0,Programmable foreground hub
622,Chevrolet,76.32,Switchable responsive leverage
623,Toyota,74.56,Multi-lateral background algorithm
624,Saab,60.4,Open-source 24/7 complexity
625,Audi,26.5,Future-proofed tangible strategy
626,Citroën,62.09,Enhanced clear-thinking emulation
627,Mercury,72.75,Realigned didactic architecture
628,Mitsubishi,10.16,Diverse tangible data-warehouse
629,Isuzu,57.3,Multi-lateral value-added support
630,Infiniti,61.65,Virtual 24/7 success
631,Dodge,43.16,Cross-platform multi-state attitude
632,Dodge,64.05,Object-based non-volatile protocol
633,Toyota,19.73,Cross-platform attitude-oriented open architecture
634,Mitsubishi,91.69,Programmable well-modulated productivity
635,Eagle,1.82,User-friendly user-facing firmware
636,Subaru,63.08,Re-contextualized neutral circuit
637,Hyundai,82.07,Secured asymmetric archive
638,Geo,36.87,Phased regional support
639,Mazda,83.07,Team-oriented actuating challenge
640,Mercury,64.34,Compatible high-level monitoring
641,Acura,88.68,Innovative 3rd generation project
642,Volkswagen,35.94,Cross-platform demand-driven complexity
643,Maserati,79.77,Virtual real-time software
644,Suzuki,42.18,Phased cohesive website
645,Kia,88.25,Operative dynamic portal
646,Buick,67.21,Integrated non-volatile definition
647,Mercury,13.15,Reverse-engineered attitude-oriented website
648,Chevrolet,76.98,Realigned optimizing local area network
649,Chrysler,80.54,Object-based systematic algorithm
650,MINI,19.05,Diverse system-worthy portal
651,BMW,22.81,Automated 3rd generation model
652,GMC,2.7,Expanded high-level capacity
653,Volkswagen,53.58,Decentralized static policy
654,Acura,46.62,Stand-alone responsive moderator
655,Volkswagen,84.48,Function-based hybrid productivity
656,Ford,1.51,Enhanced uniform internet solution
657,Chevrolet,60.51,Centralized content-based collaboration
658,Infiniti,79.77,Devolved static portal
659,Plymouth,78.7,Self-enabling transitional instruction set
660,BMW,14.56,Open-source encompassing archive
661,Buick,97.36,Multi-channelled neutral forecast
662,Acura,67.6,Realigned logistical neural-net
663,Jeep,63.18,Multi-tiered client-driven encryption
664,Toyota,12.22,Multi-channelled bandwidth-monitored open system
665,Isuzu,7.14,User-centric multi-tasking algorithm
666,Jeep,51.13,Organic encompassing moratorium
667,Ford,68.84,Polarised intermediate support
668,Toyota,62.62,Total cohesive service-desk
669,Mazda,13.9,Networked holistic help-desk
670,Volkswagen,50.42,Digitized systemic system engine
671,Volkswagen,73.68,Virtual zero administration data-warehouse
672,Lincoln,70.51,Decentralized real-time contingency
673,Lamborghini,18.65,Operative attitude-oriented collaboration
674,Mazda,9.7,Realigned empowering function
675,Isuzu,22.3,Grass-roots discrete contingency
676,Mazda,95.63,Seamless upward-trending forecast
677,Chevrolet,78.58,Operative bandwidth-monitored approach
678,Volvo,40.5,Progressive coherent structure
679,Mercedes-Benz,81.12,Intuitive neutral paradigm
680,Mitsubishi,20.0,Multi-lateral global moratorium
681,Aston Martin,62.33,Customizable clear-thinking hardware
682,Daewoo,39.66,Innovative intermediate standardization
683,BMW,99.75,Advanced human-resource contingency
684,Mercedes-Benz,20.45,Universal non-volatile encryption
685,Lincoln,26.62,Future-proofed bandwidth-monitored secured line
686,Acura,24.91,Ergonomic non-volatile process improvement
687,Chrysler,32.23,Enhanced object-oriented website
688,Pontiac,10.53,Quality-focused incremental workforce
689,GMC,13.3,Business-focused even-keeled hub
690,Mercedes-Benz,22.13,De-engineered bottom-line array
691,Plymouth,45.09,Innovative modular open system
692,Chevrolet,81.03,Seamless didactic pricing structure
693,Mitsubishi,6.21,Realigned web-enabled solution
694,BMW,78.2,Cross-group cohesive policy
695,Toyota,94.96,Self-enabling transitional time-frame
696,Acura,61.84,Optimized responsive leverage
697,Volvo,19.94,Configurable tertiary hub
698,Ford,83.06,Versatile human-resource leverage
699,Subaru,46.24,Assimilated tertiary infrastructure
700,Mazda,50.46,Synchronised zero tolerance functionalities
701,Mitsubishi,25.39,Total 24 hour interface
702,Geo,3.64,Customizable static hub
703,Mitsubishi,21.39,Switchable static architecture
704,Chevrolet,90.75,Reactive incremental projection
705,Mercury,34.41,Persevering global open system
706,Volvo,94.15,Phased needs-based framework
707,Toyota,64.51,Re-contextualized tertiary encoding
708,Nissan,63.58,Phased 24 hour matrix
709,Chevrolet,17.95,Synergistic methodical core
710,Mazda,58.22,Reactive dedicated Graphical User Interface
711,Buick,86.52,Versatile high-level process improvement
712,Mazda,68.67,Horizontal client-server challenge
713,Honda,45.28,Self-enabling methodical infrastructure
714,Mazda,70.48,Ameliorated interactive approach
715,Isuzu,18.39,Seamless interactive matrices
716,BMW,57.75,Enterprise-wide zero defect neural-net
717,Ford,7.53,Implemented homogeneous adapter
718,Toyota,64.36,Optimized 24/7 knowledge base
719,Dodge,30.41,Customer-focused eco-centric secured line
720,Saab,53.32,Diverse systemic moratorium
721,Volvo,85.56,Enhanced tertiary open architecture
722,Spyker,99.72,Innovative modular definition
723,Chevrolet,42.77,Extended maximized data-warehouse
724,Ford,73.52,Programmable 24 hour access
725,Chrysler,83.36,Advanced attitude-oriented synergy
726,Mitsubishi,73.57,Business-focused intangible Graphical User Interface
727,Lotus,16.17,De-engineered client-server contingency
728,Infiniti,41.17,Synchronised multi-tasking approach
729,Volkswagen,47.83,Innovative even-keeled paradigm
730,Cadillac,99.99,Integrated eco-centric forecast
731,Nissan,77.6,Proactive fresh-thinking time-frame
732,Toyota,74.26,Enterprise-wide context-sensitive knowledge user
733,Land Rover,14.96,Versatile full-range Graphic Interface
734,Mercedes-Benz,67.42,Compatible modular solution
735,Hummer,53.96,Profound next generation array
736,Spyker,20.27,Cloned homogeneous process improvement
737,Ford,4.8,Sharable uniform neural-net
738,Saturn,98.89,Open-architected client-server secured line
739,Volkswagen,92.69,Networked neutral internet solution
740,BMW,33.41,Operative fresh-thinking data-warehouse
741,Saab,57.46,Seamless foreground local area network
742,Bentley,93.61,Persevering actuating architecture
743,Subaru,85.09,Devolved value-added collaboration
744,Kia,80.63,Managed composite hub
745,Chevrolet,60.03,Front-line cohesive workforce
746,Maybach,33.54,Future-proofed multi-tasking capacity
747,Pontiac,33.99,Profit-focused impactful encoding
748,Buick,30.95,Cross-platform asymmetric knowledge user
749,Mercury,42.48,Operative empowering attitude
750,Acura,18.89,Quality-focused needs-based synergy
751,Honda,76.93,Managed full-range middleware
752,Lamborghini,29.67,Organic fresh-thinking Graphic Interface
753,Toyota,23.48,Streamlined asynchronous leverage
754,Honda,42.92,Total client-driven artificial intelligence
755,Toyota,65.11,Reverse-engineered static archive
756,Jaguar,20.54,Total logistical emulation
757,Chevrolet,52.63,Business-focused value-added structure
758,Land Rover,58.9,Multi-lateral executive emulation
759,Maserati,38.87,Universal high-level paradigm
760,Daihatsu,7.95,Implemented multimedia implementation
761,Volvo,99.02,Balanced hybrid analyzer
762,Mercedes-Benz,9.7,Cross-platform bandwidth-monitored frame
763,Lexus,99.11,Horizontal eco-centric utilisation
764,Mitsubishi,30.03,Operative dedicated portal
765,Ford,31.42,Diverse intangible methodology
766,Dodge,3.68,De-engineered content-based methodology
767,Lincoln,60.3,Synergistic zero administration task-force
768,Chevrolet,98.93,Total next generation standardization
769,Buick,92.43,Future-proofed incremental extranet
770,Lexus,23.91,Focused human-resource customer loyalty
771,Mitsubishi,65.77,Intuitive systemic project
772,Saab,62.58,Face to face demand-driven initiative
773,Mitsubishi,48.82,Polarised multimedia algorithm
774,Volkswagen,78.5,Proactive mobile matrix
775,Ford,89.32,Focused bifurcated leverage
776,Volkswagen,6.42,Exclusive uniform moderator
777,Subaru,52.62,Enterprise-wide solution-oriented capacity
778,Audi,12.12,Robust human-resource migration
779,Pontiac,49.43,Multi-channelled client-server policy
780,Chevrolet,67.18,Polarised optimizing attitude
781,Chevrolet,56.28,Advanced 6th generation parallelism
782,BMW,66.99,Optimized directional encoding
783,Infiniti,8.58,Profound high-level attitude
784,Jaguar,30.07,Implemented fault-tolerant orchestration
785,Ford,26.62,Networked heuristic circuit
786,Volkswagen,44.1,Phased clear-thinking infrastructure
787,Ford,35.02,Customizable modular budgetary management
788,Toyota,62.35,Distributed secondary data-warehouse
789,GMC,40.58,Synergistic methodical time-frame
790,Mazda,99.39,Function-based fresh-thinking Graphical User Interface
791,Lincoln,70.15,Face to face didactic circuit
792,Mercedes-Benz,9.7,Future-proofed multi-state collaboration
793,Pontiac,99.41,Enterprise-wide static emulation
794,Suzuki,68.73,De-engineered well-modulated support
795,Ford,95.48,Networked coherent methodology
796,Pontiac,94.09,Extended next generation success
797,Suzuki,93.68,Ameliorated directional toolset
798,Ford,98.93,Vision-oriented asymmetric matrix
799,Audi,67.75,Extended well-modulated functionalities
800,Chevrolet,25.67,Inverse coherent toolset
801,Oldsmobile,37.16,Upgradable content-based challenge
802,Kia,6.15,Down-sized needs-based open system
803,Kia,58.21,Organized radical product
804,GMC,61.24,Customizable zero defect knowledge user
805,Suzuki,87.02,Monitored cohesive monitoring
806,Buick,74.87,Monitored contextually-based instruction set
807,Volkswagen,3.18,Front-line didactic firmware
808,Mercury,95.67,Fully-configurable demand-driven support
809,Mazda,34.47,De-engineered zero tolerance challenge
810,Buick,19.56,Customizable next generation orchestration
811,Nissan,85.02,Mandatory real-time system engine
812,Chevrolet,50.83,Profound explicit middleware
813,Toyota,14.85,Inverse background analyzer
814,Chevrolet,52.63,Multi-layered optimal protocol
815,Mazda,94.41,Mandatory empowering projection
816,Lincoln,3.27,Focused real-time customer loyalty
817,GMC,8.45,Configurable fault-tolerant productivity
818,Lincoln,81.36,Team-oriented logistical alliance
819,Suzuki,79.49,Integrated fresh-thinking neural-net
820,Mazda,81.39,Multi-channelled local migration
821,Pontiac,70.54,Team-oriented bandwidth-monitored firmware
822,MINI,38.1,Networked bottom-line migration
823,Kia,94.89,Proactive hybrid forecast
824,Cadillac,75.1,Ameliorated composite neural-net
825,Mitsubishi,97.27,Innovative mobile implementation
826,Volkswagen,49.01,Business-focused responsive matrices
827,GMC,9.63,Realigned bifurcated flexibility
828,BMW,51.24,Expanded 24/7 data-warehouse
829,Mitsubishi,18.53,Automated intangible application
830,Mercury,69.8,Reduced national migration
831,Honda,70.52,Re-engineered well-modulated middleware
832,Acura,48.2,Organic background intranet
833,Jeep,2.32,Enterprise-wide value-added productivity
834,Chrysler,84.16,Persevering value-added methodology
835,Land Rover,80.77,Proactive logistical support
836,BMW,55.16,Profit-focused intermediate archive
837,Toyota,8.97,Decentralized asymmetric Graphical User Interface
838,GMC,30.23,Integrated motivating help-desk
839,Subaru,5.46,Proactive fresh-thinking parallelism
840,Mercedes-Benz,51.94,Profound stable archive
841,Ford,33.67,Face to face static adapter
842,Ford,64.54,Profound cohesive frame
843,Audi,30.76,Organic scalable access
844,Ford,65.62,Persevering stable conglomeration
845,Suzuki,3.82,Networked high-level capacity
846,Ford,28.23,Optimized holistic algorithm
847,Mitsubishi,15.61,Multi-layered user-facing productivity
848,Ford,53.53,Ameliorated systematic standardization
849,Pontiac,20.57,Automated fault-tolerant moderator
850,Infiniti,44.15,Innovative value-added projection
851,Nissan,26.6,Exclusive analyzing product
852,Subaru,51.03,Persevering upward-trending help-desk
853,Lamborghini,27.52,Balanced holistic policy
854,Pontiac,33.75,Synergistic clear-thinking knowledge base
855,Chevrolet,47.51,Intuitive scalable moratorium
856,Chevrolet,13.98,Programmable regional algorithm
857,Mercury,97.61,Multi-lateral holistic approach
858,Lexus,89.08,Operative full-range throughput
859,Ford,74.18,Versatile composite project
860,Saturn,29.42,Compatible user-facing extranet
861,Dodge,77.41,Operative disintermediate superstructure
862,Toyota,84.09,Centralized asymmetric attitude
863,Chevrolet,93.5,Persistent user-facing moderator
864,Toyota,54.46,Diverse encompassing Graphic Interface
865,Geo,47.77,Progressive client-driven leverage
866,Oldsmobile,48.92,De-engineered object-oriented installation
867,Mazda,27.98,Centralized exuding core
868,Ford,70.67,Proactive 24 hour open architecture
869,Ford,69.23,Stand-alone regional attitude
870,Subaru,38.17,Quality-focused tangible Graphical User Interface
871,Ford,60.36,Networked non-volatile alliance
872,Audi,74.24,Robust systematic info-mediaries
873,Acura,23.21,Monitored stable encryption
874,Toyota,26.44,Team-oriented impactful moderator
875,Mazda,59.28,Self-enabling didactic superstructure
876,Dodge,44.2,Multi-layered motivating customer loyalty
877,Subaru,11.75,Re-engineered tertiary monitoring
878,Honda,15.13,Multi-layered global initiative
879,Nissan,96.66,Compatible web-enabled instruction set
880,Nissan,19.53,Multi-layered modular budgetary management
881,Mazda,52.31,Pre-emptive 4th generation support
882,Mazda,19.71,Programmable upward-trending knowledge user
883,Cadillac,19.01,Profound executive firmware
884,GMC,28.77,Monitored motivating Graphic Interface
885,Oldsmobile,88.95,Managed 24 hour capability
886,Hyundai,48.03,Virtual maximized Graphic Interface
887,Honda,85.55,Virtual global moderator
888,Chevrolet,32.59,Customizable global project
889,Infiniti,21.21,Networked scalable success
890,Mazda,88.21,Multi-lateral incremental attitude
891,Chevrolet,54.87,Virtual responsive project
892,Chevrolet,67.18,Devolved heuristic installation
893,BMW,32.89,Object-based didactic capability
894,Mercedes-Benz,37.96,Pre-emptive reciprocal success
895,Lotus,53.1,Horizontal responsive access
896,Buick,6.99,Multi-channelled bottom-line access
897,Acura,8.68,Re-contextualized local access
898,Chevrolet,56.01,Switchable incremental core
899,Dodge,93.47,Synergized multimedia open system
900,Mercedes-Benz,73.21,Cross-platform impactful interface
901,Volkswagen,98.59,Exclusive zero administration encryption
902,Toyota,82.81,Enhanced disintermediate secured line
903,Pontiac,79.14,Proactive hybrid model
904,Audi,98.9,Focused neutral paradigm
905,Nissan,17.85,Switchable non-volatile framework
906,Lotus,5.77,Distributed leading edge implementation
907,Lotus,2.74,User-centric eco-centric implementation
908,Dodge,43.82,Assimilated intermediate application
909,Lamborghini,1.95,Devolved foreground knowledge base
910,Land Rover,50.49,Fundamental asynchronous protocol
911,Toyota,74.14,Public-key foreground interface
912,Cadillac,33.73,Centralized analyzing matrix
913,Porsche,47.93,Diverse leading edge artificial intelligence
914,Toyota,72.87,Reduced explicit Graphical User Interface
915,Hyundai,56.93,Seamless eco-centric benchmark
916,Chrysler,15.56,Integrated maximized moderator
917,Jeep,82.05,Public-key zero tolerance protocol
918,Mazda,35.74,Monitored client-driven access
919,Ford,49.01,Right-sized real-time system engine
920,Volkswagen,54.5,Diverse disintermediate collaboration
921,Mercedes-Benz,15.2,Switchable radical protocol
922,Mazda,45.55,Optimized leading edge throughput
923,Honda,60.29,Managed content-based conglomeration
924,Chrysler,52.21,Ameliorated fault-tolerant monitoring
925,Hyundai,47.03,Customer-focused logistical collaboration
926,Mercedes-Benz,19.26,Cross-group non-volatile open system
927,Ford,2.08,Polarised grid-enabled array
928,BMW,59.24,Business-focused mission-critical productivity
929,Chevrolet,7.97,Robust mobile array
930,Audi,27.5,Devolved dedicated info-mediaries
931,Nissan,88.25,Sharable dedicated artificial intelligence
932,Dodge,86.44,Balanced web-enabled hierarchy
933,Volkswagen,65.81,Enterprise-wide dedicated structure
934,Toyota,20.4,Synergistic encompassing monitoring
935,Chevrolet,87.2,Organized reciprocal process improvement
936,Ford,98.18,Triple-buffered eco-centric focus group
937,Chrysler,9.49,Robust local groupware
938,Pontiac,69.64,Open-source explicit application
939,GMC,12.96,Secured discrete software
940,Isuzu,69.72,Integrated executive instruction set
941,Ford,87.31,Future-proofed local intranet
942,Mercedes-Benz,1.43,Fully-configurable bifurcated strategy
943,Infiniti,19.37,Sharable composite contingency
944,Nissan,59.89,Universal non-volatile initiative
945,Pontiac,6.65,Expanded demand-driven function
946,Ford,69.48,Advanced impactful algorithm
947,Mercedes-Benz,45.11,Profit-focused scalable initiative
948,Ford,88.28,Balanced contextually-based array
949,Audi,14.89,Horizontal mission-critical data-warehouse
950,Jeep,49.84,Integrated 24/7 hierarchy
951,Volvo,57.63,Self-enabling value-added application
952,Toyota,74.0,Distributed impactful hub
953,Ford,29.99,Sharable homogeneous concept
954,Jeep,63.99,Optimized incremental analyzer
955,Ford,66.04,Advanced bottom-line structure
956,GMC,28.29,Intuitive dedicated standardization
957,Volvo,74.89,Focused solution-oriented array
958,Pontiac,3.31,Synergistic multi-state time-frame
959,Lexus,33.86,Managed holistic hub
960,Acura,9.89,Multi-layered explicit neural-net
961,Volvo,83.33,Switchable tangible workforce
962,Porsche,29.6,Operative analyzing functionalities
963,Chevrolet,29.77,Vision-oriented demand-driven instruction set
964,Pontiac,86.83,Proactive impactful internet solution
965,Lexus,39.94,Advanced directional Graphic Interface
966,Lexus,68.2,Stand-alone value-added product
967,Chevrolet,84.1,Devolved static superstructure
968,Suzuki,30.56,Inverse even-keeled matrices
969,Mercedes-Benz,5.0,Synergized responsive knowledge user
970,Aston Martin,60.5,Visionary mission-critical definition
971,Suzuki,35.35,Focused multimedia challenge
972,Lincoln,1.85,Pre-emptive needs-based orchestration
973,Pontiac,97.53,Enhanced user-facing software
974,Tesla,23.0,Innovative systematic access
975,Chevrolet,37.8,Phased 24/7 model
976,Lincoln,67.36,Stand-alone high-level function
977,Daewoo,74.48,Persistent dynamic methodology
978,Ford,37.11,Ergonomic impactful concept
979,Chevrolet,51.68,Configurable high-level solution
980,Chrysler,78.15,Assimilated transitional process improvement
981,Hyundai,27.46,Synergistic dynamic protocol
982,Plymouth,77.62,Right-sized incremental analyzer
983,Ford,78.28,Front-line neutral system engine
984,Mitsubishi,20.25,Enhanced global circuit
985,Toyota,67.93,Switchable object-oriented neural-net
986,Chevrolet,67.31,Vision-oriented multi-state encryption
987,Chevrolet,6.43,Right-sized modular budgetary management
988,Audi,77.07,Stand-alone actuating moratorium
989,Mercedes-Benz,34.43,Pre-emptive empowering knowledge base
990,Mazda,11.39,Optional grid-enabled encoding
991,Hyundai,58.56,Optimized client-server pricing structure
992,Lexus,58.73,Ameliorated logistical local area network
993,Subaru,68.29,Configurable solution-oriented system engine
994,Tesla,76.45,Quality-focused disintermediate definition
995,Honda,12.01,Re-engineered modular time-frame
996,Chrysler,64.7,Progressive hybrid orchestration
997,Dodge,3.68,Optimized incremental system engine
998,Cadillac,92.86,Multi-tiered bandwidth-monitored structure
999,Dodge,15.38,Distributed responsive artificial intelligence
1000,Ford,55.8,Organized local moratorium
